id,fio,probability,subdivision,department,position,is_view
606,Елизавета Семенова,13.64,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
803,Даниил Воронов,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
616,Григорий Жданов,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
326,Александр Афонин,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
313,Ирина Наумова,13.64,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
860,Евгения Щербакова,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
215,Лебедев Воронов,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
505,Демид Михайлов,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
451,Алеся Семенова,13.64,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
533,Диана Гордеева,9.09,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
320,Надежда Соколова,9.09,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
727,Мария Соловьева,9.09,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
818,Григорий Максимов,9.09,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
722,Дорофей Лаврентьев,9.09,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
404,Семен Карпов,9.09,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
823,Диана Волкова,9.09,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
291,Елизавета Комарова,9.09,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
212,Григорий Дьячков,9.09,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
747,Лариса Михайлова,4.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
155,Виктория Щербакова,4.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
371,Надежда Козлова,4.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
886,Надежда Жукова,4.55,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
279,Максим Трофимов,0.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
186,Дарья Петрова,0.0,Отдел №4,Департамент №2,Сотрудник отдела,Не отслеживается
816,Елизавета Горбунова,0.0,Отдел №3,Департамент №2,Сотрудник отдела,Не отслеживается
